timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1373648400,Jul 12 2013 - 5:00pm,complete,5000,Rijeka,Istra 1961,N/A,1,0.00,0.00,2.22,1.44,3,0,3,2,2,0,"15,39,67","",5,4,1,0,1,0,0,1,0,1,13,6,5,2,8,4,29,17,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Kantrida (Rijeka)
1373655600,Jul 12 2013 - 7:00pm,complete,8000,Dinamo Zagreb,Osijek,N/A,1,0.00,0.00,2.89,0.33,3,1,4,2,2,0,"12,19,53","90'1",9,3,0,0,1,0,0,0,1,0,13,3,8,0,5,3,14,9,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Maksimir
1373734800,Jul 13 2013 - 5:00pm,complete,1800,Hrvatski Dragovoljac,Lokomotiva Zagreb,N/A,1,0.00,0.00,1.06,1.39,0,2,2,1,0,1,"","30,49",3,2,2,0,0,0,1,1,0,0,9,7,4,3,5,4,11,23,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion NŠC Stjepan Spajić
1373742000,Jul 13 2013 - 7:00pm,complete,3800,Zadar,Hajduk Split,N/A,1,0.00,0.00,1.00,1.33,1,5,6,3,1,2,"45","25,34,58,75,85",0,3,6,1,3,0,2,5,2,1,8,9,4,5,4,4,19,12,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Stanovi
1373828400,Jul 14 2013 - 7:00pm,complete,1200,Split,Slaven Koprivnica,N/A,1,0.00,0.00,1.83,0.50,2,1,3,2,2,0,"10,45","90",8,6,0,0,1,0,0,0,0,1,19,15,7,6,12,9,11,17,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Park mladeži
1374257700,Jul 19 2013 - 6:15pm,complete,7025,Dinamo Zagreb,Zadar,N/A,2,3.00,0.00,2.89,0.94,3,0,3,0,0,0,"56,56,90","",11,0,0,0,3,0,0,0,1,2,13,5,5,2,8,3,7,12,52,48,0.00,0.00,0.00,0.00,2.00,50,50,50,50,0,50,50,50,50,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Maksimir
1374339600,Jul 20 2013 - 5:00pm,complete,1500,Slaven Koprivnica,Hrvatski Dragovoljac,N/A,2,0.00,0.00,1.28,0.61,2,2,4,1,0,1,"56,79","18,90'2",9,7,3,0,2,0,1,2,1,1,13,10,6,4,7,6,14,14,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gradski Stadion (Koprivnica)
1374346800,Jul 20 2013 - 7:00pm,complete,2500,Istra 1961,Split,N/A,2,0.00,0.00,1.00,1.06,1,1,2,1,1,0,"36","87",3,5,1,0,4,1,0,1,1,4,10,12,5,7,5,5,9,21,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Aldo Drosina
1374426000,Jul 21 2013 - 5:00pm,complete,18000,Hajduk Split,Rijeka,N/A,2,0.00,0.00,2.11,1.83,1,1,2,1,1,0,"28","80",3,3,2,0,4,0,0,2,2,2,12,8,4,2,8,6,22,21,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Poljud
1374516900,Jul 22 2013 - 6:15pm,complete,2000,Osijek,Lokomotiva Zagreb,N/A,2,0.00,3.00,1.50,1.39,1,2,3,1,1,0,"33","54,87",2,5,3,0,3,0,3,0,0,3,11,8,6,3,5,5,15,14,50,50,0.00,0.00,0.00,0.00,1.00,0,50,0,0,0,0,50,0,50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Olimpije (Osijek)
