timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1533929400,Aug 10 2018 - 7:30pm,complete,55219,Benfica,Vitória Guimarães,João Pedro Silva Pinheiro,1,0.00,0.00,2.59,1.06,3,2,5,3,3,0,"10,30,38","76,81",5,2,0,0,4,0,0,0,0,4,15,10,8,6,7,4,16,24,67,33,0.00,0.00,1.78,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,8.06,9.99,1.16,1.53,2.35,0.00,2.05,1.77,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa)
1534001400,Aug 11 2018 - 3:30pm,complete,5182,Vitória Setúbal,CD Aves,N/A,1,0.00,0.00,1.06,1.06,2,0,2,1,1,0,"3,61","",9,3,2,0,2,2,0,2,2,2,15,3,6,2,9,1,17,17,58,42,0.00,0.00,1.67,0.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.29,3.38,1.43,2.35,4.45,0.00,2.10,1.74,Estádio do Bonfim
1534010400,Aug 11 2018 - 6:00pm,complete,2010,CD Tondela,Belenenses,Luis Miguel Branco Godinho,1,0.00,0.00,1.41,1.18,0,1,1,0,0,0,"","54",10,4,1,1,2,0,0,2,0,2,14,8,4,4,10,4,14,13,54,46,0.00,0.00,1.68,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.23,3.32,1.39,2.20,4.10,9.00,2.00,1.80,Estádio João Cardoso
1534017600,Aug 11 2018 - 8:00pm,complete,46509,Porto,GD Chaves,N/A,1,0.00,0.00,2.65,0.82,5,0,5,3,3,0,"14,20,45,71,88","",7,0,0,0,2,1,0,0,0,3,20,4,7,0,13,4,10,12,67,33,0.00,0.00,2.33,0.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,8.25,9.99,1.16,1.56,2.40,0.00,2.35,1.59,Estádio Do Dragão
1534086000,Aug 12 2018 - 3:00pm,complete,5893,CS Marítimo,Santa Clara,Anzhony Francisco Gonçalves Rodrigues,1,0.00,0.00,1.53,1.29,1,0,1,0,0,0,"90'7","",8,2,0,0,3,0,0,0,0,3,18,13,5,6,13,7,16,9,53,47,0.00,0.00,1.83,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.98,3.45,4.32,1.42,2.25,4.30,11.00,2.10,1.74,Estádio dos Barreiros
1534086000,Aug 12 2018 - 3:00pm,complete,2646,CD Feirense,Rio Ave FC,António Emanuel Carvalho Nobre,1,0.00,0.00,0.71,1.41,2,0,2,2,2,0,"20,33","",3,4,1,0,2,0,1,0,1,1,16,9,6,2,10,7,16,9,38,62,0.00,0.00,1.64,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.00,2.65,1.42,2.25,4.30,10.00,2.05,1.77,Estádio Marcolino de Castro
1534095000,Aug 12 2018 - 5:30pm,complete,4886,Moreirense FC,Sporting CP,Tiago Bruno Lopes Martins,1,0.00,0.00,1.59,1.76,1,3,4,2,1,1,"6","16,74,90'2",6,4,5,0,5,0,3,2,3,2,28,16,13,9,15,7,21,16,60,40,0.00,0.00,2.88,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.99,4.76,1.38,1.28,1.87,3.20,6.50,2.00,1.80,Parque Desportivo Comendador Joaquim de Almeida Freitas
1534102200,Aug 12 2018 - 7:30pm,complete,12387,Sporting Braga,CD Nacional,Carlos Miguel Taborda Xistra,1,0.00,0.00,2.35,0.59,4,2,6,4,2,2,"4,32,48,72","23,37",4,2,1,0,3,0,0,1,2,1,28,16,13,9,15,7,13,15,50,50,0.00,0.00,2.88,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.42,4.91,8.44,1.18,1.60,2.50,4.33,2.05,1.78,Estadio Municipal de Bragado
1534187700,Aug 13 2018 - 7:15pm,complete,3990,Portimonense,Boavista FC,João Carlos Santos Capela,1,0.00,0.00,1.65,0.76,0,2,2,0,0,0,"","47,90'3",10,4,1,0,4,0,1,0,2,2,14,12,4,5,10,7,19,27,59,41,0.00,0.00,1.62,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.47,3.19,3.25,1.42,2.25,4.30,10.00,2.05,1.77,Estádio Municipal de Portimão
1534534200,Aug 17 2018 - 7:30pm,complete,1872,CD Aves,CD Tondela,N/A,2,0.00,0.00,1.06,0.65,2,2,4,2,1,1,"13,60","3,74",5,9,3,0,3,0,2,1,1,2,16,14,7,7,9,7,15,12,51,49,0.00,0.00,1.82,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.39,3.15,3.37,1.40,2.25,4.20,0.00,2.05,1.80,Estádio Clube Desportivo das Aves
