timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1755283500,Aug 15 2025 - 6:45pm,complete,N/A,Rennes,Olympique Marseille,N/A,1,0.00,0.00,3.00,0.00,1,0,1,0,0,0,"90'1","",1,12,2,1,3,0,2,1,1,2,10,22,5,2,5,20,8,11,28,72,0.00,0.00,1.12,2.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.81,1.92,1.25,1.75,2.88,5.45,1.66,2.05,Roazhon Park
1755356400,Aug 16 2025 - 3:00pm,complete,N/A,Lens,Olympique Lyonnais,N/A,1,0.00,0.00,0.00,3.00,0,1,1,1,0,1,"","45'1",12,8,2,0,3,0,2,0,0,3,14,10,5,3,9,7,13,20,55,45,0.00,0.00,1.79,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.50,2.70,1.19,1.75,2.75,5.00,1.60,2.30,Stade Bollaert-Delelis
1755363600,Aug 16 2025 - 5:00pm,complete,N/A,Monaco,Le Havre,N/A,1,0.00,0.00,3.00,0.00,3,1,4,1,1,0,"32,61,74","67",5,4,0,0,1,0,0,0,0,1,13,10,4,4,9,6,5,14,74,26,0.00,0.00,1.63,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.23,6.75,11.50,1.11,1.42,2.12,3.40,1.85,1.85,N/A
1755371100,Aug 16 2025 - 7:05pm,complete,N/A,Nice,Toulouse,N/A,1,0.00,0.00,0.00,3.00,0,1,1,0,0,0,"","89",9,4,2,0,3,0,0,2,0,3,7,8,2,2,5,6,12,13,57,43,0.00,0.00,0.99,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.40,4.00,1.32,2.12,3.43,6.50,1.83,1.95,Allianz Riviera
1755435600,Aug 17 2025 - 1:00pm,complete,N/A,Brest,Lille,N/A,1,0.00,0.00,1.00,1.00,3,3,6,3,1,2,"34,51,75","11,26,66",2,2,2,0,1,0,2,0,1,0,17,10,5,6,12,4,11,13,46,54,0.00,0.00,1.68,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.10,3.09,1.33,2.12,3.50,7.00,1.80,1.95,N/A
1755443700,Aug 17 2025 - 3:15pm,complete,N/A,Auxerre,Lorient,N/A,1,0.00,0.00,3.00,0.00,1,0,1,0,0,0,"53","",4,4,3,0,2,0,0,3,2,0,6,11,2,2,4,9,18,14,44,56,0.00,0.00,0.69,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.27,2.73,1.29,1.97,3.34,7.50,1.80,1.95,Stade de l'Abbé Deschamps
1755443700,Aug 17 2025 - 3:15pm,complete,N/A,Metz,Strasbourg,N/A,1,0.00,0.00,0.00,3.00,0,1,1,0,0,0,"","86",3,3,2,0,2,0,0,2,1,1,2,9,0,3,2,6,16,13,38,62,0.00,0.00,0.35,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.40,2.00,1.27,1.85,3.10,5.35,1.68,2.10,Stade Saint-Symphorien
1755443700,Aug 17 2025 - 3:15pm,complete,N/A,Angers SCO,Paris,N/A,1,0.00,0.00,3.00,0.00,1,0,1,1,1,0,"9","",3,7,2,1,1,0,1,2,1,0,7,16,2,6,5,10,14,10,32,68,0.00,0.00,0.78,1.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.40,2.20,1.32,1.91,3.40,6.50,1.76,2.00,N/A
1755456300,Aug 17 2025 - 6:45pm,complete,34053,Nantes,PSG,N/A,1,0.00,0.00,0.00,3.00,0,1,1,0,0,0,"","67",2,7,1,0,1,0,1,0,0,1,5,18,0,4,5,14,6,6,29,71,0.00,0.00,0.47,2.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,12.82,6.90,1.21,1.13,1.44,2.05,3.30,1.91,1.85,Stade de la Beaujoire - Louis Fonteneau
1755888300,Aug 22 2025 - 6:45pm,incomplete,N/A,PSG,Angers SCO,N/A,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.09,9.50,23.00,1.06,1.25,1.69,2.25,2.18,1.62,Parc des Princes
