timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1374249600,Jul 19 2013 - 4:00pm,complete,8135,Zagłębie Lubin,Pogoń Szczecin,N/A,1,0.00,0.00,1.28,1.33,0,2,2,2,0,2,"","5,29",1,4,1,0,0,0,0,1,0,0,11,10,2,5,9,5,19,23,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.49,4.74,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Zagłębia Lubin
1374258600,Jul 19 2013 - 6:30pm,complete,13224,Wisła Kraków,Górnik Zabrze,N/A,1,0.00,0.00,2.11,1.21,0,0,0,0,0,0,"","",6,7,1,0,0,0,0,1,0,0,9,7,3,3,6,4,10,10,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.29,3.25,3.49,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Miejski im. Henryka Reymana
1374327000,Jul 20 2013 - 1:30pm,complete,9000,Zawisza Bydgoszcz,Jagiellonia Białystok,N/A,1,0.00,0.00,1.56,1.06,0,1,1,0,0,0,"","78",0,4,3,1,2,0,0,4,1,1,9,10,3,3,6,7,18,10,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.46,3.34,3.08,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im. Zdzisława Krzyszkowiaka
1374336000,Jul 20 2013 - 4:00pm,complete,16544,Legia Warszawa,Widzew Łódź,N/A,1,0.00,0.00,2.42,0.16,5,1,6,2,2,0,"3,40,52,57,88","60",8,5,1,0,3,0,0,1,2,1,12,9,2,5,10,4,18,10,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,5.14,9.99,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Miejski Legii Warszawa im. Marszałka Józefa Piłsudskiego
1374413400,Jul 21 2013 - 1:30pm,complete,8678,Korona Kielce,Śląsk Wrocław,N/A,1,0.00,0.00,1.58,1.11,0,0,0,0,0,0,"","",4,2,1,0,2,0,0,1,1,1,9,9,6,4,3,5,15,9,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.57,3.34,2.93,0.00,0.00,0.00,0.00,0.00,0.00,Kolporter Arena
1374422400,Jul 21 2013 - 4:00pm,complete,10118,Cracovia Kraków,Piast Gliwice,N/A,1,0.00,0.00,1.16,1.11,2,3,5,2,1,1,"14,80","27,59,65",8,5,4,0,0,0,2,2,0,0,13,7,6,2,7,5,10,13,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.62,3.30,2.90,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Cracovii im. Józefa Piłsudskiego
1374431400,Jul 21 2013 - 6:30pm,complete,6800,Ruch Chorzów,Lech Poznań,N/A,1,0.00,0.00,1.68,1.11,1,1,2,1,0,1,"83","17",7,8,1,0,1,1,1,0,1,1,11,7,4,2,7,5,10,9,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.04,3.34,2.06,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Miejski (Chorzów)
1374508800,Jul 22 2013 - 4:00pm,complete,11645,Lechia Gdańsk,Podbeskidzie,N/A,1,0.00,0.00,1.56,0.84,2,2,4,1,0,1,"79,88","23,90'3",3,1,1,0,1,0,0,1,0,1,15,5,7,3,8,2,18,9,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.40,3.69,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Energa Gdańsk
1374854400,Jul 26 2013 - 4:00pm,complete,5200,Ruch Chorzów,Lechia Gdańsk,N/A,2,1.00,0.00,1.68,1.26,1,1,2,2,1,1,"18","3",2,9,2,0,2,0,1,1,0,2,7,9,5,5,2,4,13,12,49,51,0.00,0.00,0.00,0.00,1.00,50,50,0,0,0,0,50,0,50,7.00,1.00,2.40,3.26,3.26,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Miejski (Chorzów)
1374863400,Jul 26 2013 - 6:30pm,complete,4500,Widzew Łódź,Zawisza Bydgoszcz,N/A,2,0.00,0.00,1.56,0.95,2,1,3,2,1,1,"36,83","18",7,8,3,0,1,0,0,3,0,1,9,17,2,4,7,13,12,11,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.61,3.22,2.98,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im. Ludwika Sobolewskiego (Łódź)
