timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1721476800,Jul 20 2024 - 12:00pm,complete,N/A,Lokomotiv Moskva,Akron,Vladimir Moskalev,1,0.00,0.00,1.77,1.17,3,2,5,4,2,2,"28,38,79","36,40",8,7,2,0,3,0,1,1,1,2,18,10,8,5,10,5,11,8,42,58,0.00,0.00,2.05,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.49,4.83,7.29,1.20,1.68,2.59,4.55,1.83,1.93,RZD Arena (Moskva)
1721485800,Jul 20 2024 - 2:30pm,complete,N/A,Krylya Sovetov,Zenit,Sergey Ivanov,1,0.00,0.00,1.03,2.20,0,4,4,3,0,3,"","6,18,45'2,90'3",6,3,0,0,1,0,0,0,1,0,10,8,5,7,5,1,10,9,45,55,0.00,0.00,1.39,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.70,3.83,1.50,1.27,1.96,3.15,5.75,1.93,1.83,Solidarnost Samara Arena (Samara)
1721494800,Jul 20 2024 - 5:00pm,complete,18672,Rostov,CSKA Moskva,Sergey Karasev,1,0.00,0.00,1.30,1.97,0,0,0,0,0,0,"","",4,2,3,0,1,0,1,2,0,1,12,2,2,1,10,1,8,11,61,39,0.00,0.00,1.23,0.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.35,2.61,1.22,1.88,2.77,4.90,1.62,2.25,Rostov Arena (Rostov-na-Donu)
1721494800,Jul 20 2024 - 5:00pm,complete,11113,Dinamo Moskva,Fakel,Kirill Levnikov,1,0.00,0.00,1.87,0.60,3,1,4,3,3,0,"3,21,28","74",5,5,5,1,4,1,3,3,2,3,11,10,6,3,5,7,12,17,47,53,0.00,0.00,1.40,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.64,3.75,4.90,1.27,1.99,3.15,5.80,1.98,1.79,VTB Arena (Moskva)
1721572200,Jul 21 2024 - 2:30pm,complete,N/A,Orenburg,Spartak Moskva,Aleksey Sukhoy,1,0.00,0.00,0.63,1.90,2,0,2,0,0,0,"62,67","",7,3,2,0,2,0,1,1,1,1,17,11,7,6,10,5,9,7,37,63,0.00,0.00,1.87,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.03,3.32,2.12,1.21,1.73,2.73,4.90,1.62,2.24,Stadion Gazovik (Rostoshi)
1721581200,Jul 21 2024 - 5:00pm,complete,N/A,Akhmat Grozny,Krasnodar,Vitaly Meshkov,1,0.00,0.00,0.83,2.23,1,1,2,2,1,1,"43","30",5,5,1,0,4,0,0,1,3,1,10,8,1,3,9,5,10,19,31,69,0.00,0.00,1.06,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.30,2.70,1.22,1.91,2.73,4.90,1.62,2.24,Akhmat Arena (Groznyi)
1721581200,Jul 21 2024 - 5:00pm,complete,N/A,Khimki,Makhachkala,Egor Egorov,1,0.00,0.00,0.97,0.97,1,1,2,1,0,1,"51","33",8,7,1,0,0,0,1,0,0,0,12,8,7,4,5,4,8,15,63,37,0.00,0.00,1.61,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.00,3.25,1.41,2.40,4.25,8.20,1.98,1.79,Arena Khimki (Khimki)
1721667600,Jul 22 2024 - 5:00pm,complete,N/A,Olimpiyets,Rubin Kazan,Rafael Shafeev,1,0.00,0.00,0.90,1.50,2,4,6,4,1,3,"3,71","4,33,42,90'1",6,3,4,0,2,0,2,2,1,1,14,8,3,6,11,2,12,17,65,35,0.00,0.00,1.38,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.20,2.26,1.36,2.45,3.80,7.30,1.88,1.88,Stadion Nizhny Novgorod (Nizhniy Novgorod)
1722006000,Jul 26 2024 - 3:00pm,complete,N/A,Krylya Sovetov,Rostov,Evgeny Kukulyak,2,0.00,1.00,1.03,1.30,1,3,4,1,0,1,"65","44,62,73",0,3,3,1,2,0,0,4,0,2,5,10,2,6,3,4,10,12,48,52,1.39,1.23,0.65,1.35,2.00,0,50,50,50,0,50,50,0,50,10.00,3.00,2.39,3.40,2.80,1.27,1.89,3.15,5.80,1.71,2.09,Solidarnost Samara Arena (Samara)
1722081600,Jul 27 2024 - 12:00pm,complete,N/A,Olimpiyets,CSKA Moskva,Pavel Kukuyan,2,0.00,1.00,0.90,1.97,0,3,3,1,0,1,"","15,50,78",8,3,0,0,0,0,0,0,0,0,4,10,2,5,2,5,13,12,49,51,1.38,0.40,0.61,1.21,3.00,50,50,50,50,50,50,50,50,50,8.00,5.00,3.91,3.27,1.98,1.39,2.11,4.10,7.90,2.05,1.74,Stadion Nizhny Novgorod (Nizhniy Novgorod)
