timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1374251400,Jul 19 2013 - 4:30pm,complete,9364,AGF,Midtjylland,N/A,1,0.00,0.00,0.69,1.56,0,2,2,2,0,2,"","12,27",5,4,1,1,1,0,0,2,1,0,8,11,3,3,5,8,7,15,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.59,3.43,2.84,0.00,0.00,0.00,0.00,0.00,0.00,Ceres Park
1374332400,Jul 20 2013 - 3:00pm,complete,4771,Viborg,Randers,N/A,1,0.00,0.00,1.06,1.31,2,2,4,1,0,1,"76,89","29,79",4,1,1,0,2,0,0,1,1,1,9,10,2,4,7,6,9,5,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.16,3.39,2.39,0.00,0.00,0.00,0.00,0.00,0.00,Energi Viborg Arena
1374408000,Jul 21 2013 - 12:00pm,complete,7114,OB,SønderjyskE,N/A,1,0.00,0.00,1.25,0.76,1,1,2,1,1,0,"9","62",4,11,2,0,2,0,1,1,1,1,7,16,4,8,3,8,10,12,48,52,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.06,3.62,3.74,0.00,0.00,0.00,0.00,0.00,0.00,EWII Park (Odense)
1374418800,Jul 21 2013 - 3:00pm,complete,18770,Brøndby,Vestsjælland,N/A,1,0.00,0.00,1.69,1.12,1,1,2,1,1,0,"38","68",8,2,2,0,1,0,0,2,1,0,16,8,4,4,12,4,10,12,47,53,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.79,3.68,4.98,0.00,0.00,0.00,0.00,0.00,0.00,Brøndby Stadion
1374426000,Jul 21 2013 - 5:00pm,complete,7062,AaB,København,N/A,1,0.00,0.00,2.06,1.44,2,1,3,0,0,0,"46,70","48",1,4,2,0,2,0,1,1,1,1,6,13,3,6,3,7,13,9,49,51,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.92,3.64,2.00,0.00,0.00,0.00,0.00,0.00,0.00,Aalborg Portland Park
1374512400,Jul 22 2013 - 5:00pm,complete,7594,Esbjerg,Nordsjælland,N/A,1,0.00,0.00,1.53,1.06,4,0,4,3,3,0,"8,21,25,60","",3,8,2,0,0,0,0,2,0,0,3,7,0,5,3,2,18,9,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.94,3.38,2.54,0.00,0.00,0.00,0.00,0.00,0.00,Blue Water Arena
1374856200,Jul 26 2013 - 4:30pm,complete,5067,Nordsjælland,Viborg,N/A,2,0.00,0.00,1.71,0.82,1,1,2,1,1,0,"2","53",6,7,2,0,2,0,0,2,1,1,14,9,5,5,9,4,7,9,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.90,4.94,0.00,0.00,0.00,0.00,0.00,0.00,Right to Dream Park
1374937200,Jul 27 2013 - 3:00pm,complete,3859,Vestsjælland,AGF,N/A,2,0.00,0.00,1.19,1.06,0,2,2,1,0,1,"","13,80",2,1,0,0,1,0,0,0,1,0,14,10,7,7,7,3,9,13,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.79,3.38,2.66,0.00,0.00,0.00,0.00,0.00,0.00,Harboe Arena Slagelse
1375012800,Jul 28 2013 - 12:00pm,complete,4852,Randers,OB,N/A,2,0.00,0.00,1.06,1.18,1,1,2,1,1,0,"42","78",7,4,1,0,2,0,0,1,1,1,14,12,7,6,7,6,13,12,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.09,3.56,3.69,0.00,0.00,0.00,0.00,0.00,0.00,BioNutria Park Randers
1375023600,Jul 28 2013 - 3:00pm,complete,5700,SønderjyskE,Brøndby,N/A,2,0.00,0.00,1.56,1.47,1,0,1,0,0,0,"61","",4,1,2,0,3,0,1,1,2,1,12,9,5,3,7,6,13,16,48,52,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.56,3.55,2.79,0.00,0.00,0.00,0.00,0.00,0.00,Sydbank Park
